trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,8,-20.995748680142885,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-41.69311416968589,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,0,-49.152143314352415,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",30,0,-85.49673648814768,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-28.670241176058006,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",25,0,-32.830539767976084,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,2,-59.80726962146435,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",25,0,-20.97778491349366,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",20,9,-29.891633415425396,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,0,-0.08230563257856449,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",25,0,-14.706734169228712,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",30,0,0.0893377194942302,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",25,0,-46.13620112186977,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",20,0,9.239280426919702,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",25,0,-4.6037474145235855,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",25,0,0.07313266122730844,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",25,2,-129.7289111157963,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 3}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,0,-78.16274168202453,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
105,False,"{'a': 0.01, 'e': 0.497571047891727}",30,22,-10.843727847426305,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",20,15,10.324186257624069,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",30,5,-35.25332570547731,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",20,3,-48.72415570409877,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,0,-28.59373904665768,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",30,8,-8.853379568038648,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",30,0,-28.463550006036538,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",20,11,15.901676311579736,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,7,-29.799471974988972,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",30,0,-24.18564218029173,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,0,-131.96612751425866,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",35,24,2.157116158405314,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,9,-65.46330775191852,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,10,14.193364573091914,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,13,11.672683984107255,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",25,7,1.0031035981495002,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",20,11,7.613008761710973,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",30,4,37.28272148964876,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,0,-37.49581372466825,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,2,-2.636940931114681,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",25,20,7.956709607010348,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
